Адрес,Метро,Время до метро,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Год постройки,Тип жилья,Высота потолков,Санузел,Вид из окон,Ремонт,Мусоропровод,Количество лифтов,Тип дома,Тип перекрытий,Парковка,Отопление,Балкон/лоджия,Отделка,Этажность здания,Кол-во комнат
"Москва, ЮВАО, р-н Печатники, Левел Южнопортовая жилой комплекс",Кожуховская,9,19753828.0,293084.0,67.4,31.3,20.7,10,2024,Новостройка,2.85,2,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,68,3
"Москва, ЮВАО, р-н Люблино, Ставропольская ул., 58К2",Люблино,11,12000000.0,218182.0,55.0,34.0,6.0,7,1977,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Тверской, 3-й Самотечный пер., 2",Достоевская,4,32000000.0,432432.0,74.0,51.7,8.0,15,1975,Вторичка,2.87,1,Во двор,Косметический,Да,2,Кирпичный,Нет информации,Наземная,Центральное,2,Неизвестно,15,3
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",Арбатская,9,55000000.0,1014760.0,54.2,31.978,9.0,12,2019,Вторичка,4.0,2,Во двор,Дизайнерский,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,26,2
"Москва, ЦАО, р-н Якиманка, ул. Большая Полянка, 9С3",Полянка,6,205875000.0,1350000.0,152.5,89.975,25.925,3,2022,Вторичка,2.87,3,Во двор,Дизайнерский,Да,0,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,4,3
"Москва, ЗАО, р-н Дорогомилово, Виктори Парк Резиденсез жилой комплекс, 3к8",Парк Победы,12,100910000.0,999109.0,101.0,59.589999999999996,17.17,1,2023,Вторичка,2.87,2,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,11,3
"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к3",Шаболовская,11,27100000.0,391053.0,69.3,22.0,29.0,10,2022,Вторичка,3.2,1,На улицу,Без ремонта,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,30,2
"Москва, ЗАО, р-н Дорогомилово, Виктори Парк Резиденсез жилой комплекс, 3к7",Парк Победы,12,115450000.0,995259.0,116.0,68.44,19.720000000000002,1,2023,Вторичка,2.87,2,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,11,3
"Москва, ЮАО, р-н Царицыно, Севанская ул., 7К2",Царицыно,5,13000000.0,241636.0,53.8,35.0,7.0,2,1970,Вторичка,2.64,1,Во двор,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Басманный, Потаповский пер., 6",Чистые пруды,6,99990000.0,1483531.0,67.4,53.0,5.0,2,1825,Вторичка,3.3,3,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,5,2
"Москва, ВАО, р-н Вешняки, ул. Красный Казанец, 3К5",Выхино,18,11000000.0,244444.0,45.0,28.5,6.0,5,1970,Вторичка,2.87,1,На улицу,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЦАО, р-н Красносельский, Большая Спасская ул., 35",Площадь трёх вокзалов,4,25000000.0,694444.0,36.0,10.0,14.0,4,2022,Вторичка,3.25,1,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,24,2
"Москва, ЦАО, р-н Красносельский, Краснопрудная ул., 1",Комсомольская,3,20990000.0,381636.0,55.0,33.9,9.0,5,1961,Вторичка,2.8,2,На улицу,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 145К2",Аннино,6,15300000.0,284916.0,53.7,32.4,9.0,10,1978,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2
"Москва, ЗАО, р-н Фили-Давыдково, Рублевское ш., 11К2",Кунцевская,6,69000000.0,469069.0,147.1,70.0,15.0,8,2000,Вторичка,3.0,2,Во двор,Евроремонт,Да,4,Кирпичный,Железобетонные,Подземная,Котел/Квартирное отопление,3,Неизвестно,22,3
"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к3",Шаболовская,11,48000000.0,313725.0,153.0,90.27,26.01,7,2022,Вторичка,3.0,2,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Многоуровневая,Нет информации,1,Неизвестно,30,4
"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к3",Шаболовская,11,48000000.0,335664.0,143.0,84.36999999999999,24.310000000000002,11,2022,Вторичка,3.0,2,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Многоуровневая,Нет информации,1,Неизвестно,30,4
"Москва, ВАО, р-н Измайлово, 5-я Парковая ул., 42",Первомайская,11,11950000.0,354599.0,33.7,18.0,7.3,5,1951,Вторичка,3.0,1,Во двор,Евроремонт,Да,0,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ВАО, р-н Измайлово, Первомайская ул., 42",Измайловская,9,23000000.0,425926.0,54.0,30.0,13.0,10,2011,Вторичка,2.7,1,Во двор,Евроремонт,Да,4,Монолитный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,28,2
"Москва, ЦАО, р-н Замоскворечье, Большая Серпуховская ул., 31К3",Серпуховская,8,38500000.0,401042.0,96.0,63.0,12.0,6,1926,Вторичка,3.2,2,Во двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,3
"Москва, ЦАО, р-н Якиманка, Донская ул., 5",Октябрьская,7,69900000.0,582500.0,120.0,63.4,12.0,8,1975,Вторичка,3.0,2,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,3
"Москва, ЦАО, р-н Таганский, Библиотечная ул., 2",Площадь Ильича,9,18990000.0,311311.0,61.0,44.8,11.2,1,1972,Вторичка,2.87,1,На улицу и двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,3
"Москва, ЮВАО, р-н Кузьминки, Волжский бул., 29К1",Кузьминки,12,12500000.0,346260.0,36.1,16.0,9.5,5,2001,Вторичка,2.87,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,1
"Москва, ЗАО, р-н Фили-Давыдково, Кастанаевская ул., 66",Кунцевская,9,33000000.0,478261.0,69.0,47.0,11.73,21,2021,Вторичка,2.95,2,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,24,3
"Москва, ЮАО, р-н Нагорный, Варшавское ш., 94",Варшавская,9,38500000.0,350000.0,110.0,40.0,25.0,18,2007,Вторичка,3.0,3,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Наземная,Центральное,2,Неизвестно,23,3
"Москва, ЮЗАО, р-н Ясенево, Голубинская ул., 19",Ясенево,12,14400000.0,211454.0,68.1,48.7,6.0,7,1976,Вторичка,2.64,2,На улицу и двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Красносельский, Грохольский пер., 30К1",Сухаревская,10,23500000.0,427273.0,55.0,32.0,10.0,10,1975,Вторичка,2.64,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 10",Курская,7,42500000.0,521472.0,81.5,42.0,18.4,6,1913,Вторичка,3.8,2,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 2",Курская,8,22000000.0,415094.0,53.0,31.27,9.01,2,1945,Вторичка,3.3,1,Во двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,10,2
"Москва, ЦАО, р-н Таганский, Котельническая наб., 33К1",Таганская,6,31000000.0,553571.0,56.0,32.0,9.0,14,1973,Вторичка,2.8,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,16,2
"Москва, ЮАО, р-н Даниловский, Самаринская ул., 1",Тульская,9,14350000.0,464401.0,30.9,18.6,5.7,8,1970,Вторичка,2.64,1,Во двор,Косметический,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЮАО, р-н Нагорный, Варшавское ш., 100к1",Варшавская,10,13700000.0,339950.0,40.3,22.6,10.0,11,2022,Вторичка,2.75,1,На улицу,Косметический,Да,2,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,25,1
"Москва, ЦАО, р-н Хамовники, ул. Остоженка, 5",Кропоткинская,3,146000000.0,941935.0,155.0,102.0,16.0,6,1914,Вторичка,3.8,4,На улицу и двор,Дизайнерский,Да,1,Кирпичный,Деревянные,Наземная,Центральное,2,Неизвестно,7,4
"Москва, ЮАО, р-н Донской, 1-й Рощинский проезд, 8",Шаболовская,14,21900000.0,283679.0,77.2,54.3,9.2,1,1957,Вторичка,3.2,1,Во двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,3
"Москва, ЦАО, р-н Красносельский, Краснопрудная ул., 7-9",Комсомольская,5,29000000.0,285996.0,101.4,70.7,13.3,5,1958,Вторичка,3.2,1,На улицу и двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,9,4
"Москва, ЮАО, р-н Чертаново Южное, Варшавское ш., 141к9",Аннино,8,25200000.0,311111.0,81.0,50.0,8.0,25,2017,Вторичка,2.8,2,На улицу и двор,Евроремонт,Да,3,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,25,4
"Москва, ЮВАО, р-н Люблино, Краснодарская ул., 58",Люблино,8,15400000.0,243671.0,63.2,45.2,6.6,5,1981,Вторичка,2.65,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,3
"Москва, ЗАО, р-н Фили-Давыдково, Малая Филевская ул., 18",Пионерская,3,21000000.0,420000.0,50.0,32.0,8.0,21,2016,Вторичка,2.7,1,На улицу,Косметический,Да,2,Монолитный,Нет информации,Наземная,Автономная котельная,1,Неизвестно,22,2
"Москва, ВАО, р-н Измайлово, Измайловская пл., 9К1",Измайловская,11,24300000.0,261010.0,93.1,63.8,9.4,4,1954,Вторичка,3.0,1,Во двор,Косметический,Нет,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3
"Москва, ЦАО, р-н Таганский, Средняя Калитниковская ул., 15",Калитники,10,21700000.0,405607.0,53.5,32.1,9.2,7,2003,Вторичка,2.87,1,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, СЗАО, р-н Северное Тушино, ул. Героев Панфиловцев, 21",Планерная,12,15950000.0,265833.0,60.0,35.4,7.0,3,1967,Вторичка,2.64,1,Во двор,Дизайнерский,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Арбат, ул. Малая Молчановка, 6",Арбатская,9,140000000.0,1045556.0,133.9,79.001,30.0,2,1910,Вторичка,2.87,2,Во двор,Дизайнерский,Да,0,Кирпичный,Деревянные,Подземная,Центральное,1,Неизвестно,4,3
"Москва, ЮАО, р-н Москворечье-Сабурово, пер. 2-й Котляковский, вл1/1к5",Варшавская,5,18690000.0,415333.0,45.0,26.549999999999997,18.0,20,2024,Новостройка,2.87,1,На улицу и двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,23,2
"Москва, ЗАО, р-н Фили-Давыдково, ул. Ивана Франко, 6",Кунцевская,4,16800000.0,395294.0,42.5,16.0,12.0,6,2022,Вторичка,3.0,1,На улицу,Дизайнерский,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,29,1
"Москва, ВАО, р-н Вешняки, ул. Красный Казанец, 15К1",Выхино,5,12500000.0,210084.0,59.5,44.8,6.1,4,1970,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЮАО, р-н Даниловский, Дубининская ул., 59к6",Серпуховская,16,22900000.0,596354.0,38.4,22.656,14.7,14,2024,Новостройка,2.87,1,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,27,1
"Москва, ЦАО, р-н Басманный, Казарменный пер., 8С1",Курская,10,25000000.0,551876.0,45.3,23.4,7.0,5,1910,Вторичка,3.4,1,Во двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,1
"Москва, ЦАО, р-н Басманный, Бакунинская ул., 11С3",Бауманская,4,27500000.0,436508.0,63.0,42.0,9.0,2,1917,Вторичка,2.87,1,Во двор,Без ремонта,Да,0,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,4,3
"Москва, ЦАО, р-н Таганский, 2-й Гончарный пер., 3",Таганская,6,11797000.0,471880.0,25.0,15.0,5.0,2,1928,Вторичка,2.87,1,Во двор,Без ремонта,Да,0,Монолитный,Смешанные,Наземная,Центральное,1,Неизвестно,5,1
"Москва, ЦАО, р-н Мещанский, просп. Мира, 7С1",Сухаревская,6,28000000.0,509091.0,55.0,32.0,8.0,5,1917,Вторичка,2.87,1,На улицу,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 37",Чкаловская,2,43000000.0,646617.0,66.5,40.0,11.0,16,2024,Новостройка,2.87,2,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,21,3
"Москва, ЮАО, р-н Даниловский, Дубининская ул., 59к1",Павелецкая,17,23500000.0,605670.0,38.8,20.0,10.0,4,2023,Вторичка,2.87,1,Во двор,Без ремонта,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,46,1
"Москва, ЮАО, р-н Орехово-Борисово Северное, Шипиловский проезд, 43К3",Орехово,5,12500000.0,291375.0,42.9,27.0,6.0,8,1974,Вторичка,2.87,1,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЦАО, р-н Тверской, Новослободская ул., 24Ас2",Менделеевская,5,65000000.0,984848.0,66.0,38.94,11.22,7,2019,Вторичка,3.2,1,Во двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,10,1
"Москва, ЦАО, р-н Красносельский, Костянский пер., 14",Сухаревская,6,49990000.0,549341.0,91.0,70.0,15.0,4,1912,Вторичка,3.2,2,Во двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,4
"Москва, ЦАО, р-н Мещанский, Малая Сухаревская пл., 3",Сухаревская,5,45000000.0,314685.0,143.0,100.0,25.0,7,1951,Вторичка,3.0,2,На улицу и двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,10,3
"Москва, СВАО, р-н Бутырский, ул. Яблочкова, 25",Тимирязевская,3,11000000.0,294906.0,37.3,20.7,7.1,1,1966,Вторичка,2.64,1,Во двор,Косметический,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,12,2
"Москва, ЮЗАО, р-н Южное Бутово, Изюмская ул., 28",Улица Скобелевская,8,17500000.0,224359.0,78.0,45.9,10.6,10,2002,Вторичка,2.87,1,На улицу и двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,2,Неизвестно,10,3
"Москва, ЮВАО, р-н Люблино, Краснодарская ул., 38/20",Люблино,3,11390000.0,294315.0,38.7,20.5,8.3,2,2001,Вторичка,2.64,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,1
"Москва, САО, р-н Тимирязевский, Дмитровское ш., 37К1",Петровско-Разумовская,6,10900000.0,242222.0,45.0,30.0,6.0,7,1970,Вторичка,2.64,1,На улицу,Без ремонта,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЦАО, р-н Красносельский, Мясницкая ул., 21/8с5",Тургеневская,2,55000000.0,431711.0,127.4,60.0,10.0,2,1912,Вторичка,4.0,1,Во двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,5
"Москва, ВАО, р-н Соколиная гора, Ткацкая ул., 33",Измайлово,7,16500000.0,330000.0,50.0,31.0,8.0,3,1951,Вторичка,3.0,1,Во двор,Дизайнерский,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,4,2
"Москва, ЦАО, р-н Арбат, Староконюшенный пер., 37",Арбатская,10,49900000.0,891071.0,56.0,25.0,10.0,4,1916,Вторичка,3.0,1,На улицу и двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,6,1
"Москва, ЮЗАО, р-н Академический, ул. Ферсмана, 5К1",Академическая,9,17900000.0,401345.0,44.6,33.6,6.0,3,1962,Вторичка,2.64,1,На улицу,Евроремонт,Да,1,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,8,2
"Москва, ЦАО, р-н Пресненский, Трехпрудный пер., 11/13С2",Маяковская,7,90000000.0,891089.0,101.0,59.589999999999996,17.17,3,1910,Вторичка,3.4,2,Во двор,Дизайнерский,Да,1,Кирпичный,Смешанные,Наземная,Центральное,1,Неизвестно,6,4
"Москва, ЮАО, р-н Бирюлево Восточное, 6-я Радиальная ул., 3к7",Царицыно,4,14850000.0,247500.0,60.0,29.5,9.5,3,2019,Вторичка,2.87,2,Во двор,Без ремонта,Нет,3,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,11,2
"Москва, ЮАО, р-н Москворечье-Сабурово, пер. 1-й Котляковский, 2Ак3Б",Варшавская,10,18000000.0,418605.0,43.0,15.0,18.5,4,2021,Вторичка,2.75,1,Во двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,6,2
"Москва, ЦАО, р-н Мещанский, ул. Советской Армии, 6",Достоевская,10,95000000.0,1021505.0,93.0,69.0,19.0,11,2013,Вторичка,3.3,1,На улицу и двор,Косметический,Да,5,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2
"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15",Деловой центр,3,79000000.0,782178.0,101.0,61.0,10.0,43,2013,Вторичка,3.0,2,Во двор,Без ремонта,Да,4,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,75,2
"Москва, ЮЗАО, р-н Южное Бутово, ул. Поляны, 5",Улица Скобелевская,16,14500000.0,267035.0,54.3,31.3,8.0,31,2018,Вторичка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Открытая,Индивидуальный тепловой пункт,1,Неизвестно,31,2
"Москва, ЮВАО, р-н Выхино-Жулебино, Сормовская ул., 3К2",Юго-Восточная,8,9950000.0,224605.0,44.3,29.4,6.0,1,1975,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЦАО, р-н Красносельский, Садовая-Спасская ул., 1/2кА",Красные ворота,10,17190000.0,454762.0,37.8,19.3,8.6,3,1959,Вторичка,2.7,1,Во двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,1
"Москва, ЦАО, р-н Якиманка, ул. Большая Полянка, 28к1",Полянка,1,26900000.0,596452.0,45.1,27.2,6.0,15,1972,Вторичка,2.64,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,15,2
"Москва, ЦАО, р-н Таганский, Яузская ул., 6-8С5",Таганская,11,19450000.0,555714.0,35.0,24.0,6.0,9,1965,Вторичка,2.6,1,На улицу и двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 56К1",Кузьминки,9,10000000.0,259067.0,38.6,25.4,7.4,1,1962,Вторичка,2.6,1,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2
"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 115К1",Кузьминки,2,10500000.0,253012.0,41.5,30.0,7.055000000000001,1,1962,Вторичка,2.64,1,Во двор,Без ремонта,Да,0,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2
"Москва, ЦАО, р-н Таганский, Котельническая наб., 31",Таганская,7,140400000.0,1200000.0,117.0,69.03,19.89,2,2017,Вторичка,3.35,3,На улицу и двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,2,Неизвестно,11,3
"Москва, ЮАО, р-н Бирюлево Восточное, 6-я Радиальная ул., 3к7",Царицыно,4,20400000.0,210309.0,97.0,50.6,9.3,6,2019,Вторичка,2.75,1,На улицу и двор,Без ремонта,Да,2,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,11,3
"Москва, САО, р-н Савеловский, 2-я Хуторская ул.",Дмитровская,7,35700000.0,386782.0,92.3,35.9,33.4,33,2024,Новостройка,2.87,2,На улицу,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,43,3
"Москва, ЦАО, р-н Таганский, Котельническая наб., 31",Таганская,7,112200000.0,1200000.0,93.5,55.165,15.895000000000001,4,2017,Вторичка,3.35,2,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,4,Неизвестно,11,2
"Москва, ЦАО, р-н Таганский, Котельническая наб., 31",Таганская,7,150240000.0,1200000.0,125.2,73.868,21.284000000000002,1,2017,Вторичка,3.35,3,На улицу и двор,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,8,4
"Москва, ЮЗАО, р-н Ясенево, ул. Рокотова, 3К2",Ясенево,15,10600000.0,322188.0,32.9,18.9,6.1,3,1978,Вторичка,2.64,1,Во двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,1
"Москва, ЦАО, р-н Таганский, Котельническая наб., 31",Таганская,7,172080000.0,1200000.0,143.4,84.606,24.378000000000004,1,2017,Вторичка,3.35,4,На улицу,Дизайнерский,Да,2,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,11,4
"Москва, ВАО, р-н Измайлово, Измайловский просп., 71",Измайловская,6,16200000.0,284211.0,57.0,45.0,6.0,6,1967,Вторичка,2.87,1,На улицу и двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,3
"Москва, ЦАО, р-н Хамовники, Гагаринский пер., 6",Кропоткинская,3,57450000.0,854911.0,67.2,42.0,14.0,1,1975,Вторичка,3.0,1,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,10,3
"Москва, ЮВАО, р-н Печатники, Левел Южнопортовая жилой комплекс, к1",Кожуховская,6,27954630.0,439538.0,63.6,37.524,10.812000000000001,68,2024,Новостройка,6.0,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,69,3
"Москва, СВАО, р-н Бутырский, ул. Добролюбова, 25АК2",Улица Милашенкова,4,18600000.0,248000.0,75.0,45.0,11.0,5,1957,Вторичка,3.0,1,На улицу и двор,Косметический,Да,0,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3
"Москва, ЮАО, р-н Москворечье-Сабурово, пер. 2-й Котляковский, вл1/1к5",Каширская,12,22277441.0,454642.0,49.0,30.0,8.0,7,2024,Новостройка,2.97,1,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,10,1
"Москва, ЮАО, р-н Москворечье-Сабурово, Лайф Варшавская жилой комплекс",Варшавская,12,16321200.0,348000.0,46.9,27.0,7.0,5,2024,Новостройка,2.97,1,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,23,1
"Москва, ЦАО, р-н Тверской, ул. Фадеева, 4А",Новослободская,8,210000000.0,995261.0,211.0,72.0,16.0,4,2013,Вторичка,3.4,4,Во двор,Дизайнерский,Да,3,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,13,5
"Москва, ЦАО, р-н Замоскворечье, Стремянный пер.",Павелецкая,4,27500000.0,500000.0,55.0,32.449999999999996,9.350000000000001,3,2024,Новостройка,2.87,1,На улицу и двор,Косметический,Нет,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,10,2
"Москва, ЦАО, р-н Якиманка, 2-й Казачий пер., 4С1",Полянка,5,215000000.0,1228571.0,175.0,89.0,15.0,7,2005,Вторичка,2.87,2,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,7,4
"Москва, ЮЗАО, р-н Южное Бутово, Плавский проезд, 5",Бульвар Адмирала Ушакова,8,13300000.0,246296.0,54.0,32.5,9.2,10,2002,Вторичка,2.8,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2
"Москва, ЦАО, р-н Замоскворечье, Стремянный пер.",Павелецкая,4,18500000.0,528571.0,35.0,20.65,5.95,3,2024,Новостройка,2.87,1,Во двор,Косметический,Нет,4,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,10,1
"Москва, ВАО, р-н Соколиная гора, Фортунатовская ул., 16",Измайлово,6,12300000.0,286047.0,43.0,28.8,6.0,3,1960,Вторичка,2.8,1,Во двор,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2
"Москва, ЦАО, р-н Арбат, пер. Плотников, 21С1",Смоленская,4,135000000.0,671642.0,201.0,156.0,25.0,3,2004,Вторичка,3.0,3,На улицу и двор,Евроремонт,Нет,1,Кирпичный,Железобетонные,Подземная,Автономная котельная,1,Неизвестно,5,5
"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 10",Маяковская,4,49000000.0,505155.0,97.0,60.2,11.5,8,1989,Вторичка,2.7,1,На улицу и двор,Без ремонта,Да,1,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,8,3
"Москва, ЦАО, р-н Замоскворечье, Балчуг Резиденс жилой комплекс, кА",Третьяковская,13,140000000.0,965517.0,145.0,96.0,14.4,3,2024,Вторичка,2.87,2,На улицу,Евроремонт,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,7,5
"Москва, ЦАО, р-н Якиманка, Якиманский пер., 6",Октябрьская,8,350000000.0,1944444.0,180.0,106.19999999999999,30.6,14,2010,Вторичка,3.6,1,Во двор,Без ремонта,Да,4,Монолитный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,22,3
