Vremja_do_metro,Obschaja_ploschad,Zhilaja_ploschad,Ploschad_kuhni,Etazh,God_postrojki,Tip_zhilja,Vysota_potolkov,Sanuzel,Vid_iz_okon,Remont,Musoroprovod,Kolichestvo_liftov,Tip_doma,Tip_perekrytij,Parkovka,Otoplenie,Balkonlodzhija,Otdelka,Etazhnost_zdanija,Kolvo_komnat,shirota_doma,dolgota_doma,Rasstojanie_do_tsentra,Rasstojanie_do_metro,Okrug,Tsena_za_kvadrat_log
9,42.7,27.0,6.0,1,1974,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.8966,37.597576,15.989699993363194,0.6634853068128324,СВАО,12.67688219993097
11,85.6,57.1,8.4,3,1987,Вторичка,2.87,1,На улицу и двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,4,Неизвестно,12,4,55.674204,37.748358,11.923757929977024,0.8658313758537162,ЮВАО,12.320735262183604
11,41.5,13.5,20.0,18,2024,Новостройка,2.75,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,33,1,55.748473,37.408534,13.35555716186724,0.9321121106775716,ЗАО,12.951961695785666
15,41.0,24.189999999999998,19.0,4,2024,Новостройка,2.87,1,Во двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,18,1,55.852076,37.625127,10.967709392654756,1.1331164842341412,СВАО,12.886949856955088
20,60.5,33.7,13.2,15,2012,Вторичка,2.7,2,На улицу,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,25,2,55.831236,37.501483,11.443708269916273,1.332462700375295,САО,12.657307487882527
7,38.0,20.0,8.0,16,1997,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.626238,37.747927,16.271060752355137,0.6245372945600067,ЮАО,12.58486860565487
11,38.0,21.0,6.0,5,1999,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.658312,37.589177,10.79582295237871,0.8096399765309162,ЮЗАО,12.780613639237728
8,37.4,22.066,6.3580000000000005,4,2024,Новостройка,3.3,1,Во двор,Косметический,Да,5,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,4,1,55.777661,37.621902,2.6800074783294856,0.6613013097841163,ЦАО,13.407542319637992
22,39.0,14.1,17.7,14,2024,Новостройка,3.0,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,23,1,55.607743,37.575684,16.487232221988954,1.5317205554921731,ЮЗАО,12.493755967981173
1,35.0,14.0,17.0,5,1931,Вторичка,2.87,1,Во двор,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2,55.746248,37.60072,1.515202471645678,0.21751137150605396,ЦАО,13.55599991803459
7,54.0,31.86,10.0,5,1999,Вторичка,2.64,1,Во двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,14,2,55.663923,37.751772,12.931348120033567,0.4804900026603035,ЮВАО,12.53457751250189
11,63.4,37.406,19.0,8,2024,Новостройка,2.87,2,На улицу и двор,Косметический,Да,5,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,35,2,55.809742,37.628927,6.270887544847887,0.6518038493191319,СВАО,12.779563161286356
7,61.0,34.0,8.0,4,2009,Вторичка,3.2,2,На улицу,Дизайнерский,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,6,2,55.744774,37.659865,2.628962666492806,0.7257164365179727,ЦАО,14.204446475232333
8,39.0,23.009999999999998,6.630000000000001,6,2022,Вторичка,3.2,1,На улицу,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,11,1,55.763407,37.659856,2.671096220191555,0.5541835197306407,ЦАО,13.122363377404328
27,24.7,8.8,8.0,4,2024,Новостройка,2.7,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,16,1,55.557729,37.503136,23.03498333226046,2.1916848762977947,НАО,12.656399577050268
9,71.1,37.1,12.8,6,2024,Вторичка,2.87,2,Во двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Многоуровневая,Центральное,1,Неизвестно,13,1,55.727729,37.572297,4.202749399356375,0.7098490673663298,ЦАО,13.875556188668288
14,57.7,33.9,10.4,14,1970,Вторичка,2.64,2,На улицу и двор,Евроремонт,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,14,2,55.661318,37.585116,10.518948762817777,0.9518797770478861,ЮЗАО,12.672604630586731
2,40.0,22.4,7.5,8,1965,Вторичка,2.85,1,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2,55.808073,37.639527,6.175490947462971,0.0578274006081195,СВАО,12.814478597635029
9,44.5,29.4,6.2,3,1968,Вторичка,2.64,1,Во двор,Евроремонт,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.792053,37.723942,7.748963476765193,0.72343214969096,ВАО,12.792611309781119
10,43.41,29.6,2.1,2,2024,Новостройка,2.87,2,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,22,2,55.730193,37.697576,5.468275480088344,0.5202605509036679,ЮВАО,12.357354929726961
4,62.0,43.0,8.5,12,1973,Вторичка,2.8,1,Во двор,Евроремонт,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,14,3,55.729752,37.449381,11.103055251051241,0.2574139758588851,ЗАО,12.866430586600291
11,57.0,25.5,13.0,18,2022,Вторичка,3.0,1,Во двор,Без ремонта,Да,3,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,27,2,55.751447,37.703775,5.2010697330344815,0.853834812649828,ЮВАО,12.885974999340018
7,214.0,171.0,36.38,4,1913,Вторичка,2.87,3,На улицу и двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Нет информации,2,Неизвестно,6,4,55.754679,37.608428,0.8004714787046894,0.5300408669387676,ЦАО,14.460231907977231
5,50.0,28.5,6.7,12,1975,Вторичка,2.5,1,На улицу,Евроремонт,Нет,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2,55.612492,37.724436,17.00314162702043,0.40705907573875627,ЮАО,12.468436909997665
11,52.3,30.7,9.9,10,2011,Вторичка,2.74,1,На улицу и двор,Дизайнерский,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2,55.688558,37.468407,12.017543322396866,0.985492197271982,ЗАО,12.787038881876247
1,64.2,31.7,11.4,10,2024,Вторичка,2.64,1,Во двор,Дизайнерский,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,26,2,55.675306,37.610566,8.741214947593875,0.2911479472166143,ЮАО,12.953040174784604
6,149.0,80.0,15.0,13,1956,Вторичка,3.0,3,Во двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,14,3,55.758894,37.609398,0.9388944989182524,0.4402897000064194,ЦАО,13.416233762689934
3,41.1,16.4,13.2,6,2024,Новостройка,2.87,1,Во двор,Косметический,Да,3,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,17,1,55.810359,37.701286,8.080733934478719,1.7991565208609692,ВАО,12.773650934164465
10,66.2,21.0,19.0,3,2024,Вторичка,2.87,2,Во двор,Дизайнерский,Нет,0,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.797346,37.521839,7.904100405728604,0.7791843062512203,САО,13.311710199135037
8,180.0,105.0,25.0,16,2018,Вторичка,3.3,4,На улицу и двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,27,5,55.779216,37.574381,4.087945512628284,0.5318331698273921,САО,13.684509675183044
18,39.0,18.0,8.5,17,1998,Вторичка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.667889,37.572926,10.009847412241287,1.18520136509298,ЮЗАО,12.826097906088684
10,45.5,28.0,6.0,5,1960,Вторичка,2.87,1,Во двор,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.78486,37.73686,8.060306009523268,0.5797265606198699,ВАО,12.404743160145461
10,50.0,30.0,8.0,9,1972,Вторичка,2.87,1,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2,55.647132,37.589554,12.01729146516847,0.8115843949500797,ЮЗАО,12.765688433465597
9,140.0,82.6,30.0,5,2017,Вторичка,3.6,4,На улицу и двор,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,7,3,55.754177,37.598519,1.4149834783977786,0.716940249975253,ЦАО,13.837970435954343
3,17.0,9.0,3.0,1,2024,Вторичка,2.87,1,Во двор,Евроремонт,Да,0,Кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,5,1,55.73702,37.690255,4.722898328944911,0.9691974068165327,ЦАО,13.15477441882128
3,76.0,51.0,10.0,5,1928,Вторичка,2.87,1,На улицу и двор,Дизайнерский,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3,55.773018,37.593677,2.7613226681556813,0.3362829879605837,ЦАО,13.148339068935774
4,30.0,19.0,6.0,9,1965,Вторичка,2.7,1,Во двор,Евроремонт,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,1,55.747424,37.509837,7.016050071734002,0.36004597268898875,ЗАО,12.86099861326992
1,78.1,46.07899999999999,13.277,13,2024,Вторичка,3.2,1,Во двор,Дизайнерский,Да,3,Монолитный,Нет информации,Наземная,Нет информации,1,Неизвестно,21,3,55.758453,37.625064,0.5972141546759262,0.1678928276954507,ЦАО,13.986889124715242
9,19.7,11.623,3.349,4,2024,Новостройка,2.87,1,На улицу и двор,Косметический,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,25,1,55.861631,37.64825,12.149022907801953,0.768829914372072,СВАО,13.086184752405241
3,46.7,30.0,7.4,7,1960,Вторичка,2.8,1,Во двор,Евроремонт,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2,55.679351,37.533751,9.920589458194087,1.2865847138261262,ЮЗАО,13.021039149411214
6,69.5,46.0,12.0,23,2024,Вторичка,2.87,2,На улицу и двор,Косметический,Нет,4,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,49,3,55.80611,37.571076,6.634119971719112,0.6599475220510992,СВАО,12.832281093414728
12,52.8,35.6,8.7,8,1973,Вторичка,2.7,1,На улицу,Косметический,Да,2,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,14,2,55.69419,37.567842,7.41046513265509,0.8052761140104957,ЮЗАО,12.869425346078751
12,38.3,20.0,9.0,9,2008,Вторичка,2.8,1,На улицу,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.973048,37.172224,37.2379866837003,0.4804999417671607,ЗелАО,12.327621913355436
6,103.0,74.0,11.0,3,1917,Вторичка,2.87,1,Во двор,Косметический,Да,0,Кирпичный,Нет информации,Наземная,Центральное,1,Неизвестно,4,4,55.768588,37.614779,1.7148025144812495,0.7523156808082587,ЦАО,12.939653745318898
13,44.4,27.0,6.0,8,1972,Вторичка,2.87,1,Во двор,Без ремонта,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.607214,37.61954,16.297745854592137,1.118058340041186,ЮАО,12.354415061431585
6,81.5,41.3,18.7,40,2024,Новостройка,3.1,2,На улицу,Косметический,Да,6,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Без отделки,51,3,55.754861,37.528253,5.827062776003777,0.3634434803114819,ЦАО,13.028052697933088
9,57.0,38.0,16.0,5,1970,Вторичка,2.7,1,Во двор,Косметический,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,9,3,55.62147,37.597926,14.781891350061427,0.7024444371440473,ЮАО,12.382527024046082
5,38.7,18.0,12.0,4,2024,Вторичка,3.2,1,Во двор,Косметический,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,5,1,55.776077,37.602382,2.7632969765459134,0.39300027065227816,ЦАО,13.898601844763931
6,37.74,22.2666,6.415800000000001,13,2024,Новостройка,3.0,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Открытая,Центральное,1,Без отделки,14,1,55.715677,37.651394,4.632568670553441,1.0135025734581462,ЮАО,13.228721395391245
4,85.0,60.0,20.0,29,2022,Вторичка,3.7,2,На улицу,Без ремонта,Да,4,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,29,3,55.727841,37.450872,11.065615333360359,0.4544040708030398,ЗАО,12.84792653170257
23,59.9,30.0,12.0,4,2008,Вторичка,2.87,1,На улицу,Евроремонт,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2,55.504328,37.583841,27.8508498873637,1.5136991827997455,НАО,12.325525397545137
13,38.0,19.9,9.9,11,1986,Вторичка,2.87,1,Во двор,Косметический,Да,3,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,1,55.672087,37.529493,10.745050646190299,0.5246637470079347,ЮЗАО,13.03439517917085
14,85.3,48.6,20.0,11,2019,Вторичка,2.87,2,На улицу и двор,Без ремонта,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,19,3,55.704489,37.570941,6.308375960704963,0.9563490031563174,ЮЗАО,13.290061869776856
6,58.0,45.0,9.0,1,1900,Вторичка,3.0,1,Во двор,Косметический,Да,0,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,4,3,55.721468,37.610934,3.632720578323016,0.3498853319884754,ЮАО,12.582380104257558
8,75.0,41.0,14.0,22,2017,Вторичка,2.8,1,На улицу,Дизайнерский,Да,3,Панельный,Железобетонные,Наземная,Центральное,2,Неизвестно,27,2,55.730289,37.464805,10.149521090306473,0.37139963851369456,ЗАО,12.8545702030371
8,107.0,88.0,10.0,3,2024,Новостройка,2.87,3,Во двор,Косметический,Да,6,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,4,4,55.777661,37.621902,2.6800074783294856,0.6216274873120203,ЦАО,13.235692062711331
8,38.9,25.6,5.4,1,1966,Вторичка,2.87,1,Во двор,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.848867,37.47713,13.926844956239895,0.6730661940910835,САО,12.534062580358928
6,120.53,71.1127,20.4901,14,2024,Новостройка,3.0,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Открытая,Центральное,1,Без отделки,16,3,55.715875,37.650594,4.591932199080407,1.054130131267586,ЮАО,13.16660607464427
5,101.4,70.7,13.3,5,1958,Вторичка,3.2,1,На улицу и двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,9,4,55.778431,37.66274,3.8079334420103548,0.5886623066359784,ЦАО,12.563733103690199
9,195.0,115.05,33.150000000000006,4,2003,Вторичка,3.4,2,Во двор,Без ремонта,Да,3,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,9,4,55.741632,37.589473,2.3877971306461325,0.7358060128157297,ЦАО,13.99237223671385
17,27.6,17.6,5.0,8,2023,Вторичка,3.0,1,На улицу,Без ремонта,Да,2,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,18,1,55.718623,37.635997,4.005566385513663,1.1834976344939039,ЮАО,13.27028325748092
16,94.7,53.4,9.8,5,1958,Вторичка,3.1,1,На улицу и двор,Евроремонт,Да,0,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,5,3,55.798702,37.781623,11.25965831704627,1.2181718740269036,ВАО,12.423922208383274
7,51.4,30.8,15.4,16,2024,Новостройка,2.95,1,Во двор,Косметический,Да,4,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,С отделкой,58,2,55.655529,37.529672,12.336855095232579,0.6672877632732225,ЮЗАО,12.970523691838258
13,42.4,26.7,5.7,4,2024,Новостройка,3.0,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Чистовая,9,2,55.541677,37.476429,25.289492796209785,2.1059021708176786,НАО,12.10958377133847
8,63.5,37.464999999999996,10.795,4,2024,Новостройка,3.3,1,Во двор,Косметический,Да,5,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,4,2,55.777661,37.621902,2.6800074783294856,0.6613013097841163,ЦАО,13.270783382522602
12,37.0,19.0,8.0,16,1986,Вторичка,2.74,1,На улицу,Дизайнерский,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.607072,37.753236,18.310889614267534,0.7749281240023075,ЮАО,12.497129018620903
14,62.5,44.7,6.6,2,1974,Вторичка,2.7,1,На улицу и двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,3,55.858544,37.589168,11.854425827290074,1.1066467756638132,СВАО,12.483704382128453
6,58.5,43.2,6.0,2,1973,Вторичка,2.64,1,Во двор,Без ремонта,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.69072,37.722666,9.475979386267268,0.5241869247213929,ЮВАО,12.3114321611875
2,78.0,44.0,5.5,11,2024,Вторичка,2.87,3,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,18,3,55.779271,37.581676,3.7781408866808452,0.21181016241582967,САО,13.196472206700541
9,58.7,38.0,6.0,8,1967,Вторичка,2.6,1,На улицу и двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.857569,37.442751,16.09297036727129,0.5455100154760545,СЗАО,12.71245943221931
9,133.9,79.001,30.0,2,1910,Вторичка,2.87,2,Во двор,Дизайнерский,Да,0,Кирпичный,Деревянные,Подземная,Центральное,1,Неизвестно,4,3,55.753787,37.593471,1.7305969676401527,0.5313698055494495,ЦАО,13.860059359304955
16,41.6,27.7,7.072000000000001,3,1960,Вторичка,2.87,1,Во двор,Косметический,Нет,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.701836,37.748708,9.877326721406428,1.1687942531163154,ЮВАО,12.476172299197822
3,39.0,18.0,10.0,3,1994,Вторичка,6.0,1,Во двор,Евроремонт,Да,3,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,1,55.549429,37.553909,23.120330570266177,0.16050982245977297,ЮЗАО,12.549843184632499
8,41.0,26.0,10.0,23,2023,Вторичка,2.87,1,На улицу и двор,Косметический,Нет,5,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,24,1,55.777105,37.526941,6.460110311128524,0.4800702234429748,САО,13.267413919147815
4,65.0,36.0,14.0,6,2006,Вторичка,2.64,1,Во двор,Дизайнерский,Да,2,Панельный,Нет информации,Наземная,Центральное,1,Неизвестно,18,2,55.693297,37.618228,6.7156960340316365,0.35976901674207284,ЮАО,12.763488873348727
5,33.0,18.0,6.7,1,1969,Вторичка,2.7,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1,55.62607,37.608239,14.22092074856715,0.42478291270037316,ЮАО,12.621587089491339
14,211.0,124.49,20.0,4,2012,Вторичка,3.8,3,На улицу и двор,Дизайнерский,Да,2,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,6,3,55.750018,37.649741,1.846224961194136,1.3952472095578345,ЦАО,13.761969476036194
10,63.0,46.2,6.0,5,1971,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.74223,37.829683,13.163937963759661,1.3119005737371274,ВАО,12.237324189033778
5,79.0,47.0,7.7,12,1938,Вторичка,3.3,1,На улицу и двор,Без ремонта,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,13,3,55.76366,37.610826,1.2908298037684165,0.49321595552248165,ЦАО,13.45339656345677
3,36.9,14.0,12.0,8,2018,Вторичка,3.0,1,Во двор,Евроремонт,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,20,1,55.599728,37.724723,18.330986014384106,1.295187995397283,ЮАО,12.8246956134742
12,104.3,70.0,11.0,11,2024,Новостройка,2.97,2,Во двор,Косметический,Да,1,Монолитный,Железобетонные,Подземная,Центральное,1,Чистовая,11,4,55.651328,37.633284,11.412071479483249,0.9686838808425954,ЮАО,12.810249258411895
7,51.1,14.6,20.6,30,2023,Вторичка,2.87,1,На улицу,Без ремонта,Да,5,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,64,2,55.751421,37.548618,4.55331552104554,0.4721385739680948,ЦАО,13.77354624457952
20,39.5,23.305,6.715000000000001,9,1967,Вторичка,2.87,1,Во двор,Дизайнерский,Да,2,Панельный,Деревянные,Наземная,Центральное,1,Неизвестно,12,1,55.761284,37.692249,4.5524927920656895,1.4905533567655294,ЦАО,12.847260520492647
7,62.4,37.9,8.0,5,1962,Вторичка,3.0,1,Во двор,Евроремонт,Да,4,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.805214,37.508185,9.119635826498294,0.41496845465794685,САО,12.795460805132578
13,54.0,32.0,11.0,17,2021,Вторичка,2.7,2,Во двор,Евроремонт,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,18,2,55.744054,37.763989,9.03993595921892,1.6499034929385537,ВАО,12.656794699208698
9,33.0,16.5,6.0,4,1959,Вторичка,2.87,1,На улицу,Без ремонта,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,1,55.800934,37.801341,12.482017155244694,0.7138231761874287,ВАО,12.570295531946122
14,38.0,19.0,8.0,1,1988,Вторичка,2.87,1,На улицу,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,1,55.637434,37.680194,13.457394582845833,0.6499039270789214,ЮАО,12.375148531129565
7,140.0,82.6,23.8,5,1998,Вторичка,3.1,2,На улицу,Дизайнерский,Да,3,Монолитно-кирпичный,Железобетонные,Подземная,Центральное,1,Неизвестно,9,4,55.740208,37.597693,2.09034909722582,0.6525452142700232,ЦАО,13.884503829451145
3,101.0,65.3,10.7,5,1972,Вторичка,2.7,1,На улицу и двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,14,4,55.734674,37.616656,2.1244543263977524,0.2793735827067129,ЦАО,13.43449608195205
8,36.8,22.6,7.3,7,1962,Вторичка,2.6,1,Во двор,Евроремонт,Да,1,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.674001,37.571893,9.384501002698961,0.7164619091949711,ЮЗАО,12.863255804156532
14,80.0,55.0,10.0,2,1957,Вторичка,3.1,1,На улицу,Косметический,Да,1,Сталинский,Железобетонные,Наземная,Центральное,1,Неизвестно,6,3,55.796607,37.569279,5.786239315296111,0.9245645213835776,САО,12.652359748158593
4,66.4,37.0,12.6,20,2007,Вторичка,3.0,1,На улицу,Евроремонт,Да,4,Монолитный,Железобетонные,Подземная,Автономная котельная,1,Неизвестно,22,2,55.614134,37.602606,15.570232058782967,0.21081997543231332,ЮАО,12.797867931829652
10,40.3,23.776999999999997,6.851,2,2024,Новостройка,3.02,1,На улицу,Косметический,Да,2,Монолитно-кирпичный,Железобетонные,Наземная,Центральное,1,Без отделки,24,1,55.83845,37.641405,9.533626535831019,0.7495854940699863,СВАО,13.136193301606527
8,73.82,52.0,6.5,8,2024,Новостройка,3.0,2,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Без отделки,14,3,55.714146,37.651601,4.79363022495058,1.6095987699391003,ЮВАО,12.988948549414456
5,45.0,30.0,6.0,1,1975,Вторичка,2.64,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.679742,37.76539,12.24437790364324,0.5033807617447378,ЮВАО,12.647905040666291
2,40.4,13.0,20.0,7,2023,Вторичка,2.6,1,На улицу,Евроремонт,Да,4,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,28,1,55.811609,37.484864,10.710341788836717,0.26808837073467534,СЗАО,12.769922315069085
2,38.1,19.0,10.0,8,2008,Вторичка,2.5,1,Во двор,Евроремонт,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,22,1,55.552444,37.552139,22.81128638244739,0.5142396360699997,ЮЗАО,12.660204100618929
3,69.0,43.0,8.0,4,1956,Вторичка,3.0,1,На улицу,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,2,55.691679,37.603065,6.985362133642158,0.22696478592999986,ЮЗАО,12.577136076920974
3,78.1,46.07899999999999,9.0,2,1957,Вторичка,3.2,1,Во двор,Косметический,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3,55.79062,37.741935,8.635324751894089,0.2227526426945096,ВАО,12.548562454476825
4,20.0,16.0,3.4000000000000004,3,1880,Вторичка,3.8,1,Во двор,Дизайнерский,Да,1,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,5,1,55.757602,37.637021,1.098608621963499,0.3652620245918327,ЦАО,13.304684934198283
8,35.0,19.0,9.0,2,1974,Вторичка,2.7,1,Во двор,Косметический,Да,2,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,1,55.784091,37.637407,3.547514402850598,0.37875687071130465,ЦАО,12.884831813275438
5,120.86,57.8,16.0,38,2024,Новостройка,3.1,2,На улицу и двор,Косметический,Да,4,Монолитный,Железобетонные,Многоуровневая,Центральное,1,Без отделки,41,4,55.752116,37.526609,5.93107591567089,0.5794948451208317,ЦАО,13.041153321978786
9,42.8,21.8,10.0,7,1959,Вторичка,3.2,1,Во двор,Косметический,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,2,55.687655,37.527678,9.397555966133947,0.6632145979512639,ЮЗАО,13.103494474052239
6,62.6,45.0,6.5,1,1972,Вторичка,2.5,1,На улицу и двор,Косметический,Да,2,Монолитный,Нет информации,Наземная,Центральное,1,Неизвестно,12,3,55.636621,37.605499,13.06002201648421,0.4470414877231062,ЮАО,12.48210461833997
9,52.8,31.151999999999997,8.976,8,2024,Вторичка,3.4,1,Во двор,Без ремонта,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,16,2,55.785604,37.691225,5.666584080367242,0.8967325002175477,ВАО,13.240146413060712
7,53.0,17.0,23.0,50,2023,Вторичка,3.05,1,Во двор,Дизайнерский,Да,4,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,65,1,55.751421,37.548618,4.55331552104554,0.4721385739680948,ЦАО,13.834202765050499
4,58.1,39.0,6.0,8,1968,Вторичка,2.87,1,Во двор,Косметический,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.811816,37.706488,8.412346319898049,1.7623985601217447,ВАО,12.643717713113121
9,140.0,43.0,40.0,4,2022,Вторичка,3.25,3,На улицу и двор,Без ремонта,Нет,2,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,7,4,55.743517,37.644737,1.8641766863335891,0.6795042124661063,ЦАО,14.061253606000138
8,64.0,35.0,13.0,10,2004,Вторичка,2.7,1,На улицу и двор,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2,55.743178,37.687749,4.347290193876286,0.5931856108920331,ЦАО,12.847105141822666
