Vremja_do_metro,Obschaja_ploschad,Zhilaja_ploschad,Ploschad_kuhni,Etazh,God_postrojki,Tip_zhilja,Vysota_potolkov,Sanuzel,Vid_iz_okon,Remont,Musoroprovod,Kolichestvo_liftov,Tip_doma,Tip_perekrytij,Parkovka,Otoplenie,Balkonlodzhija,Otdelka,Etazhnost_zdanija,Kolvo_komnat,shirota_doma,dolgota_doma,Rasstojanie_do_tsentra,Rasstojanie_do_metro,Okrug,Tsena_za_kvadrat_log
3,51.0,24.4,8.4,17,1994,Вторичка,2.87,1,Во двор,Косметический,Да,2,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,17,2,55.54619,37.555427,23.457975835118546,0.21277367627490343,ЮЗАО,12.368591075027824
6,35.0,26.0,5.0,4,1906,Вторичка,2.87,1,На улицу,Дизайнерский,Да,1,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,6,2,55.772391,37.588485,2.9246236958644882,0.6818882771362197,САО,13.38472764187182
10,38.5,22.5,7.2,4,1971,Вторичка,2.64,1,На улицу,Косметический,Да,2,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,12,2,55.800661,37.723906,8.314684765940438,0.748495540264541,ВАО,12.69057996097829
8,123.0,86.4,31.6,2,2004,Вторичка,2.87,2,Во двор,Дизайнерский,Да,1,Монолитный,Железобетонные,Подземная,Центральное,1,Неизвестно,6,2,55.706092,37.549705,6.932036070670472,0.7746301080573479,ЗАО,14.51932711773084
4,67.0,39.53,11.39,22,2021,Вторичка,3.0,1,На улицу,Без ремонта,Нет,3,Монолитный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,28,2,55.756964,37.513332,6.7724328740855135,1.2282931825685415,ЗАО,12.821660906260139
9,62.9,41.6,6.1,7,1975,Вторичка,2.64,1,Во двор,Евроремонт,Да,1,Панельный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.639176,37.513008,14.43679530054125,0.7679477563941075,ЮЗАО,12.732672204062188
17,58.1,44.5,5.8,2,1967,Вторичка,2.6,1,Во двор,Евроремонт,Да,1,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,3,55.811022,37.821544,14.112292823410222,1.446359401644366,ВАО,12.279072146413695
5,24.3,14.337,4.131,28,2021,Вторичка,3.0,1,Во двор,Без ремонта,Да,2,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,30,1,55.612609,37.751116,17.701577063892536,0.46154118505446756,ЮАО,12.927620190611421
4,54.4,32.0,10.2,12,2023,Вторичка,2.75,1,Во двор,Косметический,Да,3,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,23,2,55.799699,37.827589,13.9413386761008,1.8548144105290292,ВАО,12.610310334000289
2,220.0,129.79999999999998,37.400000000000006,35,2010,Вторичка,3.0,3,На улицу,Дизайнерский,Да,1,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,75,3,55.747115,37.539087,5.195952965424918,0.23059484690904963,ЦАО,12.98100946852266
11,216.0,152.0,20.0,4,2023,Вторичка,3.4,4,Во двор,Без ремонта,Да,1,Монолитный,Нет информации,Подземная,Нет информации,1,Неизвестно,6,4,55.747698,37.61777,0.687747689288268,0.6560849120453953,ЦАО,14.298165076192113
12,49.2,25.6,8.3,19,2024,Новостройка,2.87,1,Во двор,Косметический,Да,2,Монолитный,Железобетонные,Подземная,Центральное,1,Без отделки,47,2,55.655107,37.52165,12.62038674514582,1.1729615067865635,ЮЗАО,12.925299281447396
18,74.0,50.0,9.4,3,1959,Вторичка,2.87,1,Во двор,Евроремонт,Да,0,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,5,3,55.799431,37.773511,10.844312626150908,1.3927339735632562,ВАО,12.57949998128782
10,56.7,28.4,14.0,1,1912,Вторичка,3.1,2,Во двор,Евроремонт,Да,0,Кирпичный,Деревянные,Наземная,Центральное,1,Неизвестно,5,2,55.747946,37.656658,2.323879373010148,0.9633605114434245,ЦАО,12.549073524114087
5,166.0,97.94,28.220000000000002,1,2006,Вторичка,3.3,3,На улицу и двор,Дизайнерский,Да,1,Монолитный,Железобетонные,Подземная,Индивидуальный тепловой пункт,1,Неизвестно,7,4,55.748199,37.604412,1.2041427762937882,0.35285467209808546,ЦАО,14.401845614236644
5,38.9,17.8,10.2,8,1981,Вторичка,2.87,1,Во двор,Без ремонта,Да,2,Кирпичный,Железобетонные,Открытая,Центральное,1,Неизвестно,14,1,55.634766,37.66274,13.48746103701912,0.4370405557532943,ЮАО,12.70396195482783
12,37.1,22.6,7.5,5,1964,Вторичка,2.64,1,Во двор,Косметический,Да,1,Блочный,Железобетонные,Наземная,Центральное,1,Неизвестно,9,2,55.647935,37.610628,11.781971321720592,0.8182844329546031,ЮАО,12.64424047589399
10,37.8,19.3,8.6,3,1959,Вторичка,2.7,1,Во двор,Евроремонт,Да,1,Кирпичный,Железобетонные,Наземная,Центральное,1,Неизвестно,8,1,55.771864,37.642267,2.431945076868517,0.5637930029850117,ЦАО,13.027529484157553
17,45.0,30.0,9.0,11,2021,Вторичка,3.0,1,На улицу и двор,Дизайнерский,Да,3,Панельный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,14,2,55.804127,37.597297,5.819895576331321,1.4421117027513561,ЦАО,12.994530005894443
11,50.0,25.0,15.0,5,2019,Вторичка,3.2,1,Во двор,Дизайнерский,Да,4,Кирпичный,Железобетонные,Наземная,Центральное,2,Неизвестно,8,1,55.747287,37.622774,0.7107929130450648,0.6814754761610374,ЦАО,13.946538820370678
4,42.36,12.4,16.5,15,2020,Вторичка,2.87,1,На улицу,Косметический,Да,2,Монолитный,Железобетонные,Наземная,Индивидуальный тепловой пункт,1,Неизвестно,19,2,55.582925,37.581164,19.16656483571655,0.2780583516364208,ЮАО,12.83562485966476
